id,subscriber_id,sim_card_number,imsi_number,imei_number,call_type,service_type,direction,roaming_status,caller_number,receiver_number,country_code,call_start_time,call_end_time,call_duration_seconds,message_content,message_length,data_volume_mb,data_session_duration_seconds,cell_tower_id,location_latitude,location_longitude,location_area_code,region,city,network_type,network_provider,signal_strength_dbm,cost,currency,created_at,updated_at
20837.0,19d6dde0-da4e-4133-8169-df0f793e428d,8930561747208102613,398827491013625,135656138635923,voice,prepaid,incoming,False,234281028594,234539962718,+234,2025-01-17 15:43:03,2025-01-17 16:15:32,1949.0,,0.0,0.0,0.0,CT-0918,9.0826775,-71.926592,132-861,Hawaii,Port Keithshire,3G,Glo,-62.0,7.55,USD,2025-01-17 15:43:03,2025-01-17 16:15:32
11540.0,6ed83393-2399-4ac7-b875-15b3e0eeaa64,8930715197275786890,039546430666371,900986438006694,sms,postpaid,incoming,True,234565140596,234710177665,+234,2025-01-06 09:20:03,2025-01-06 10:19:29,0.0,Difficult sign continue business perform occur sister. Here Republican address well phone happy.,137.0,0.0,0.0,CT-5160,54.1172785,158.661327,061-239,Missouri,Kristinfurt,3G,Airtel,-105.0,3.32,NGN,2025-01-06 09:20:03,2025-01-06 10:19:29
934467.0,304f77bc-f843-4454-8ce2-2480a5e3ed6f,8930890201228619584,216352947393497,,sms,prepaid,outgoing,False,234000279283,234155079258,+234,2025-02-20 10:37:50,2025-02-20 11:12:23,0.0,"Personal four throw no. Financial hard read wife long.
Prevent only rule both ready entire live. Marriage campaign western strong compare design.",28.0,0.0,0.0,,-78.5772715,-19.384444,181-601,Idaho,West Sandraville,5G,9mobile,-120.0,0.08,NGN,2025-02-20 10:37:50,2025-02-20 11:12:23
843942.0,fcfb3889-bb57-4fd4-8e8d-07df9b75f780,8930329942914578418,556186870657042,691112335561589,data,prepaid,outgoing,,234006374578,234607119288,+234,2025-01-25 16:55:08,2025-01-25 17:03:59,0.0,,0.0,369.88,2342.0,CT-7347,-24.8895995,69.013400,294-174,South Carolina,Kathrynbury,3G,Airtel,-77.0,2.18,USD,2025-01-25 16:55:08,2025-01-25 17:03:59
344930.0,85e06782-8d97-45f6-b13b-fa860e2c1389,8930684125819676849,904613329514349,559015569672872,sms,postpaid,incoming,True,234267533410,234233401555,+234,2025-04-08 08:19:37,2025-04-08 08:58:56,0.0,Idea sure gun kid. Especially music return country figure understand. Word including these bad interview yes start. Art start care election perform study seem.,25.0,0.0,,CT-8477,48.2084665,21.431064,477-655,Minnesota,East Randyberg,5G,Glo,-79.0,7.23,USD,2025-04-08 08:19:37,2025-04-08 08:58:56
823310.0,b7117933-0ae5-4ddd-abd3-3244cd1394a2,8930163229380159148,202838475904162,415367414552495,sms,postpaid,outgoing,True,234651223249,234856968785,+234,2025-02-01 21:08:02,2025-02-01 21:14:56,0.0,"Fund clearly against.
Inside computer source form. Right stop know teacher so toward notice.",45.0,0.0,0.0,CT-2447,-46.5852465,123.340425,554-836,Delaware,East Christopher,2G,9mobile,-96.0,0.02,USD,2025-02-01 21:08:02,2025-02-01 21:14:56
930379.0,6170746e-df93-4b8a-b1f2-e290f845dd68,8930371902662367734,244046019590599,944970466315969,sms,prepaid,incoming,True,234655933480,234932059776,+234,2025-01-17 01:18:47,2025-01-17 01:30:44,0.0,Wish politics somebody area network pass almost. Suddenly identify fire dark response that name rock. Also then late how.,81.0,0.0,0.0,CT-4745,56.3216965,39.530645,687-972,,Gonzalezfurt,4G,MTN,-63.0,9.98,USD,2025-01-17 01:18:47,2025-01-17 01:30:44
609627.0,4bfbf635-dacc-4cfd-a34a-472608f80b88,,429632699138366,482580336626385,sms,postpaid,incoming,True,234060568737,234678346025,+234,2025-01-15 14:09:51,2025-01-15 14:35:09,0.0,Picture section wind physical describe. Entire too affect writer piece. About firm place development them. Subject process practice kid.,34.0,,0.0,CT-7494,25.942262,150.791938,251-034,California,Erinmouth,3G,Glo,-67.0,6.35,USD,2025-01-15 14:09:51,2025-01-15 14:35:09
700094.0,f82bc710-e786-4df2-b2bb-b1eeb1c6e9c5,8930556673686334682,166283983459713,628617832840124,voice,prepaid,incoming,True,234366874408,234747851785,+234,2025-01-03 11:36:12,2025-01-03 11:47:06,654.0,,0.0,0.0,0.0,CT-5403,75.8361885,-78.335818,235-834,Louisiana,Wallview,5G,MTN,-113.0,4.89,NGN,2025-01-03 11:36:12,2025-01-03 11:47:06
937501.0,98edd48e-6da9-4b70-a496-bd665d50840f,8930042857634964010,472966047768189,244070149435451,sms,postpaid,incoming,True,234299099912,234523242690,+234,2025-01-07 22:52:21,2025-01-07 23:35:14,0.0,Physical group world. Garden election performance politics church enter. Or action sort.,106.0,0.0,0.0,CT-4449,-30.301379,-76.537176,629-875,Missouri,West Victoriaton,4G,MTN,-120.0,1.59,USD,2025-01-07 22:52:21,2025-01-07 23:35:14
344249.0,0376e9ef-6f88-49da-8c23-3f73ef85d9cc,8930860001679773255,559535146144547,362240818161726,sms,prepaid,incoming,False,234542755476,234889492192,+234,2025-01-05 20:47:40,2025-01-05 20:57:22,0.0,"Spend experience fish maybe.
Last sea choose be on. Place sometimes according option before like.",136.0,0.0,0.0,CT-8941,47.9332385,-57.103360,499-465,Massachusetts,Lake Zacharyside,4G,9mobile,-112.0,4.35,NGN,2025-01-05 20:47:40,2025-01-05 20:57:22
511707.0,2cc87263-10fd-48ff-b45d-129fe52c755c,8930844772638147617,978674948892389,291487590144395,voice,prepaid,incoming,False,234055028839,234634272895,+234,2025-02-20 04:37:16,2025-02-20 04:42:14,298.0,,0.0,0.0,0.0,CT-9769,-28.580692,-50.982248,950-834,Arizona,South Andresfurt,3G,Airtel,-56.0,6.21,NGN,2025-02-20 04:37:16,2025-02-20 04:42:14
99950.0,d6ce3fb4-781a-4694-8dd1-ecebdda1e609,8930612075112320609,525352628589784,537767872910774,voice,postpaid,outgoing,True,234537053405,234415195741,+234,2025-03-19 10:04:11,2025-03-19 10:35:37,1886.0,,0.0,0.0,0.0,CT-9952,82.0034585,-119.543043,937-735,Pennsylvania,Nguyenburgh,2G,Glo,-82.0,4.43,USD,2025-03-19 10:04:11,2025-03-19 10:35:37
,75699dd7-c598-4574-9e53-fda4aeade700,8930004591409241109,445281924600445,311625394676693,voice,postpaid,incoming,True,234443242461,234292112912,+234,2025-03-30 13:20:21,2025-03-30 13:34:56,875.0,,0.0,0.0,0.0,CT-9929,-48.5652315,-8.909860,609-003,Oregon,Rhondafurt,2G,MTN,-61.0,8.07,NGN,2025-03-30 13:20:21,2025-03-30 13:34:56
